"Herd","Observed_Diff","P_Value","adj_p_value"
"WAB",-0.101801287020582,0.001,0.0025
"WENT",-0.0919017932213848,0.004,0.00666666666666667
"NORD",-0.119436344858096,0.001,0.0025
"RL",-0.0779268531796303,0.001,0.0025
"HZ",-0.0715720858700813,0.001,0.0025
"WBNPGR",-0.0253359457851292,0.016,0.02125
"EINPW",-0.0703125784305128,0.001,0.0025
"ETH",-0.0966325802209383,0.001,0.0025
"WBNPPAD",0.0130478599857184,0.823,0.823
"MBS",-0.0186058713658385,0.004,0.00666666666666667
"WBNPLB",-0.0405042448737978,0.003,0.00642857142857143
"WBNPNY",-0.0345590808806701,0.008,0.012
"WBNPHC",-0.00762250859474978,0.089,0.102692307692308
"WBNPC2",0.0105930768721962,0.596,0.638571428571429
"WBNPC1",-0.0209562409959053,0.017,0.02125
